time (s)	magX	magY	magZ
8009.524346	-281.122162	-2.513150	228.170654
8009.527676	-279.310333	-2.337814	224.605484
8009.531009	-277.615417	-2.337814	222.267670
8009.534367	-277.030975	-2.045588	218.527176
8009.537682	-276.037415	-1.461134	215.604904
8009.541013	-274.634705	-1.285798	212.741089
8009.544344	-273.407349	-1.402689	210.111053
8009.547686	-271.303314	-1.110462	207.071869
8009.551035	-270.485077	0.116891	205.786087
8009.554347	-269.725311	-0.409117	203.506729
8009.558969	-267.036804	0.876680	198.831100
8009.561870	-265.809479	1.928697	197.194626
8009.565200	-264.699005	1.753361	195.090591
8009.568547	-263.471649	1.636470	193.220337
8009.571922	-263.413208	1.344243	190.414963
8009.574785	-262.302765	2.396260	189.538269
8009.578143	-260.724701	2.571596	187.492691
8009.581441	-259.964935	2.630041	185.447113
8009.584763	-258.796021	2.688486	184.570435
8009.587670	-257.977783	2.513150	182.524841
8009.591044	-257.218018	2.805377	180.596130
8009.594340	-255.464645	2.805377	178.784332
8009.597666	-254.763290	3.039158	176.446518
8009.601008	-253.419037	2.805377	174.926941
8009.604363	-253.068375	3.565166	173.465805
8009.607672	-252.308578	4.266511	172.589127
8009.611002	-250.730560	3.798948	170.835770
8009.614336	-250.438339	3.974284	168.497955
8009.617668	-248.684982	4.617183	166.686157
8009.621001	-248.392746	3.857393	165.108124
8009.624339	-247.399185	4.383401	163.939209
8009.627666	-246.288727	4.149620	161.893631
8009.631004	-245.353607	4.967855	161.367615
8009.634336	-245.295135	4.792519	158.796021
8009.637668	-243.775558	4.617183	158.153122
8009.641003	-243.015793	4.734074	156.633545
8009.644336	-242.255997	5.084745	155.815308
8009.647702	-240.970184	5.201637	154.295731
8009.650996	-240.327286	4.558738	153.185272
8009.654339	-239.567490	4.617183	151.724136
8009.657662	-239.392166	4.675628	150.263000
8009.661863	-238.457031	4.734074	148.977203
8009.665205	-237.814148	4.850964	148.509644
8009.668592	-237.814148	4.967855	147.165405
8009.671938	-236.879013	4.617183	146.288712
8009.675182	-236.879013	4.266511	145.704269
8009.678087	-235.651657	4.792519	145.236710
8009.681422	-235.534760	4.850964	144.944473
8009.684773	-235.125656	4.909410	143.892456
8009.688086	-235.067200	4.967855	143.541794
8009.691029	-234.833435	4.500292	142.723541
8009.694325	-234.599640	4.792519	142.723541
8009.697667	-233.547638	4.967855	142.431335
8009.700997	-233.372314	4.909410	142.665115
8009.704326	-233.898300	5.026300	142.022202
8009.707659	-233.372314	4.909410	141.671539
8009.710996	-233.722977	5.143191	142.314438
8009.714327	-233.255417	4.792519	142.139099
8009.717660	-233.430740	5.435418	141.554642
8009.720993	-233.606079	5.260082	140.853302
8009.724326	-232.787842	4.734074	140.911743
8009.727659	-232.846283	4.967855	141.087082
8009.730994	-232.846283	4.558738	140.502625
8009.734360	-232.787842	5.084745	141.905319
8009.737659	-232.554047	4.792519	140.736420
8009.740998	-232.670944	4.441847	141.379303
8009.744326	-233.080078	5.084745	140.794861
8009.747656	-232.554047	5.610754	140.970200
8009.750985	-232.670944	4.792519	141.145523
8009.754324	-232.437180	4.734074	140.327301
8009.757654	-232.612518	4.967855	141.087082
8009.760985	-232.729385	4.734074	140.677963
8009.765238	-232.144958	3.974284	141.262421
8009.768611	-232.437180	3.974284	141.087082
8009.771849	-232.437180	3.798948	140.677963
8009.775171	-233.372314	4.091175	141.262421
8009.778102	-233.196945	3.156049	141.496201
8009.781410	-232.378723	3.331385	140.853302
8009.784750	-232.787842	3.272940	141.203979
8009.788080	-233.313843	2.980713	140.911743
