time (s)	det(V)
7349.904801	-0.037489	
7349.906581	-0.037368	
7349.908058	-0.037268	
7349.909815	-0.038327	
7349.911311	-0.038786	
7349.913038	-0.039157	
7349.914562	-0.039354	
7349.916268	-0.039540	
7349.917791	-0.039874	
7349.919481	-0.040063	
7349.921027	-0.040587	
7349.922712	-0.041280	
7349.924275	-0.041526	
7349.925932	-0.042069	
7349.927494	-0.042786	
7349.929143	-0.043564	
7349.930745	-0.044281	
7349.932356	-0.045236	
7349.933980	-0.045908	
7349.935586	-0.045735	
7349.937248	-0.047189	
7349.938839	-0.047935	
7349.940493	-0.049288	
7349.942079	-0.049586	
7349.943776	-0.051157	
7349.945336	-0.051689	
7349.947039	-0.052902	
7349.948593	-0.054259	
7349.950290	-0.055999	
7349.951838	-0.056575	
7349.953547	-0.058191	
7349.955090	-0.059266	
7349.956831	-0.060410	
7349.958308	-0.061857	
7349.960084	-0.063585	
7349.961566	-0.065357	
7349.963215	-0.066759	
7349.964696	-0.068813	
7349.966275	-0.069410	
7349.967824	-0.071013	
7349.969364	-0.072153	
7349.970985	-0.073784	
7349.972471	-0.075259	
7349.974104	-0.077188	
7349.975645	-0.078308	
7349.977309	-0.080762	
7349.978799	-0.082051	
7349.980508	-0.083690	
7349.981985	-0.085144	
7349.983678	-0.087046	
7349.985154	-0.087932	
7349.986874	-0.089648	
7349.988402	-0.090973	
7349.990142	-0.092399	
7349.991624	-0.093451	
7349.993398	-0.095529	
7349.994878	-0.097056	
7349.996654	-0.098470	
7349.998135	-0.099566	
7349.999911	-0.101556	
7350.001392	-0.102567	
7350.003151	-0.103360	
7350.004649	-0.104561	
7350.006413	-0.105733	
7350.007922	-0.106865	
7350.009639	-0.108283	
7350.011159	-0.108799	
7350.012878	-0.110503	
7350.014416	-0.111494	
7350.016124	-0.112617	
7350.017678	-0.113423	
7350.019354	-0.114084	
7350.020922	-0.114777	
7350.022603	-0.115486	
7350.024173	-0.116481	
7350.025830	-0.117129	
7350.027436	-0.117846	
7350.029074	-0.119063	
7350.030675	-0.119905	
7350.032266	-0.120404	
7350.033945	-0.121484	
7350.035556	-0.121012	
7350.037207	-0.121959	
7350.038797	-0.122112	
7350.040489	-0.122954	
7350.042060	-0.123852	
7350.043747	-0.124308	
7350.045303	-0.125049	
7350.047000	-0.125939	
7350.048564	-0.126757	
7350.050250	-0.127607	
7350.051803	-0.128171	
7350.053543	-0.128972	
7350.055059	-0.129073	
7350.056809	-0.129891	
7350.058283	-0.131216	
7350.060057	-0.132739	
7350.061540	-0.133702	
7350.063078	-0.134358	
7350.064639	-0.135716	
7350.066198	-0.136808	
7350.067763	-0.137810	
7350.069274	-0.138346	
7350.070909	-0.139651	
7350.072398	-0.140775	
7350.074037	-0.142008	
7350.075543	-0.143152	
7350.077244	-0.145118	
7350.078723	-0.146270	
7350.080429	-0.148059	
7350.081912	-0.149634	
7350.083624	-0.151164	
7350.085111	-0.152031	
7350.086832	-0.153803	
7350.088317	-0.154846	
7350.090016	-0.156957	
7350.091497	-0.158464	
7350.093262	-0.160325	
7350.094743	-0.161997	
7350.096483	-0.163773	
7350.097974	-0.165199	
7350.099720	-0.166984	
7350.101236	-0.168522	
7350.102972	-0.169598	
7350.104485	-0.170915	
7350.106189	-0.172631	
7350.107722	-0.173981	
7350.109417	-0.174787	
7350.110975	-0.175854	
7350.112662	-0.177683	
7350.114224	-0.178642	
7350.115883	-0.179826	
7350.117468	-0.180595	
7350.119110	-0.180861	
7350.120689	-0.181590	
7350.122322	-0.182074	
7350.123946	-0.182694	
7350.125561	-0.182678	
7350.127238	-0.183600	
7350.128822	-0.183741	
7350.130495	-0.183693	
7350.132079	-0.183588	
7350.133764	-0.184148	
7350.135338	-0.182545	
7350.137025	-0.181864	
7350.138589	-0.181747	
7350.140300	-0.180700	
